epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,11926.1,1.21738,1.01616,1.28372,0.8912,0.76298,0.85302,0.56926,1.00545,1.85246,1.10328,3.268e-05,3.268e-05,3.268e-05
70,12115.2,1.20404,1.00479,1.27837,0.89145,0.76325,0.85316,0.56946,1.00518,1.84805,1.10305,3.169e-05,3.169e-05,3.169e-05
71,12303.1,1.20945,1.00732,1.27858,0.8914,0.76305,0.85316,0.56958,1.00495,1.83947,1.10297,3.07e-05,3.07e-05,3.07e-05
72,12492.3,1.20808,1.00936,1.27856,0.89177,0.7631,0.8532,0.56971,1.00453,1.82054,1.10277,2.971e-05,2.971e-05,2.971e-05
73,12668.8,1.20351,1.00517,1.2765,0.89153,0.76338,0.85334,0.56988,1.00415,1.8037,1.1026,2.872e-05,2.872e-05,2.872e-05
74,12832,1.21489,1.01258,1.28184,0.89234,0.76318,0.85338,0.57006,1.00388,1.77991,1.10255,2.773e-05,2.773e-05,2.773e-05
75,12995.5,1.20936,1.00803,1.2779,0.89185,0.76339,0.85336,0.57017,1.00348,1.76302,1.10243,2.674e-05,2.674e-05,2.674e-05
76,13160.7,1.20864,1.00735,1.28012,0.89176,0.76333,0.85342,0.57021,1.00319,1.75272,1.10235,2.575e-05,2.575e-05,2.575e-05
77,13324.6,1.2031,1.00401,1.27804,0.89196,0.76359,0.85356,0.57045,1.00278,1.74798,1.10211,2.476e-05,2.476e-05,2.476e-05
78,13487.5,1.2103,1.00812,1.28021,0.89195,0.76366,0.85369,0.5706,1.00243,1.73883,1.10186,2.377e-05,2.377e-05,2.377e-05
79,13650.7,1.2081,1.00806,1.2799,0.89307,0.76277,0.8536,0.57078,1.00215,1.73085,1.10177,2.278e-05,2.278e-05,2.278e-05
80,13815.3,1.2072,1.00601,1.27817,0.89295,0.76307,0.85365,0.57083,1.00196,1.72981,1.10174,2.179e-05,2.179e-05,2.179e-05
81,13982,1.20602,1.00394,1.27749,0.89254,0.76313,0.85371,0.57094,1.00177,1.71255,1.10158,2.08e-05,2.08e-05,2.08e-05
82,14145.7,1.20409,1.00468,1.27672,0.89265,0.76326,0.85373,0.57113,1.00134,1.70476,1.10141,1.981e-05,1.981e-05,1.981e-05
83,14309.4,1.20464,1.00663,1.27769,0.89221,0.76395,0.85382,0.57144,1.00091,1.70044,1.10121,1.882e-05,1.882e-05,1.882e-05
84,14473.4,1.20377,1.00417,1.27786,0.89219,0.76372,0.85401,0.5716,1.00069,1.68766,1.10119,1.783e-05,1.783e-05,1.783e-05
85,14638.6,1.20311,1.00052,1.27606,0.89274,0.76342,0.85389,0.57175,1.00038,1.67654,1.10102,1.684e-05,1.684e-05,1.684e-05
86,14804.3,1.20582,1.00908,1.27968,0.89264,0.76348,0.85398,0.57172,1.00032,1.66806,1.10105,1.585e-05,1.585e-05,1.585e-05
87,14971.1,1.20299,1.00111,1.27565,0.89278,0.76333,0.85408,0.57186,1.00022,1.66231,1.10093,1.486e-05,1.486e-05,1.486e-05
88,15135.9,1.20414,1.00555,1.27858,0.8923,0.76383,0.85404,0.57182,1.00003,1.65053,1.10087,1.387e-05,1.387e-05,1.387e-05
89,15301.3,1.2053,0.99921,1.27607,0.8925,0.76376,0.85414,0.57199,0.99992,1.63606,1.10082,1.288e-05,1.288e-05,1.288e-05
90,15467,1.20104,0.99222,1.27255,0.89229,0.76385,0.8541,0.57209,0.99975,1.62513,1.10079,1.189e-05,1.189e-05,1.189e-05
91,15653.2,1.1495,0.88805,1.26471,0.89095,0.7649,0.854,0.5721,0.99996,1.61797,1.10102,1.09e-05,1.09e-05,1.09e-05
92,15817.9,1.14107,0.84662,1.26229,0.89111,0.76447,0.85391,0.57194,1.00007,1.6153,1.10108,9.91e-06,9.91e-06,9.91e-06
93,15979.3,1.13438,0.83433,1.25557,0.89135,0.7641,0.85382,0.57189,0.99998,1.61014,1.10103,8.92e-06,8.92e-06,8.92e-06
94,16140.7,1.13183,0.8337,1.25588,0.89138,0.76395,0.85366,0.57175,0.99975,1.60208,1.10091,7.93e-06,7.93e-06,7.93e-06
95,16302.7,1.12856,0.82433,1.25247,0.89131,0.76372,0.85364,0.5718,0.99952,1.601,1.10081,6.94e-06,6.94e-06,6.94e-06
96,16463.3,1.1272,0.82146,1.25251,0.89205,0.76305,0.85367,0.57175,0.99943,1.59878,1.10067,5.95e-06,5.95e-06,5.95e-06
97,16624.2,1.12519,0.81901,1.25062,0.89187,0.76273,0.8536,0.57178,0.99923,1.603,1.10061,4.96e-06,4.96e-06,4.96e-06
98,16789.5,1.13092,0.8233,1.25388,0.89243,0.76232,0.85365,0.5717,0.99907,1.60937,1.10048,3.97e-06,3.97e-06,3.97e-06
99,16951.2,1.12563,0.82084,1.25332,0.89187,0.76234,0.85358,0.57162,0.99892,1.61517,1.10048,2.98e-06,2.98e-06,2.98e-06
100,17112.3,1.12223,0.82967,1.25045,0.89177,0.7627,0.85351,0.57156,0.99884,1.61918,1.10053,1.99e-06,1.99e-06,1.99e-06
